gene,importance
TNS3,0.027472666
IKZF1,0.10165924
AC124014.1,0.29874945
LINC01446,0.18976472
EGFR,0.033028785
AC237221.1,0.5308388
AC069285.1,0.18621886
AC115220.1,0.14980344
LAT2,0.015332319
NCF1,0.0769209
HSPB1,0.07390738
FGL2,0.012247001
AC004921.1,0.41254404
SEMA3C,0.028613945
SEMA3E,0.023237886
AC005009.2,0.08299701
ABCB1,0.09132889
ZNF804B,0.011541155
SAMD9,0.088273324
SAMD9L,0.052310806
HEPACAM2,0.055882815
CALCR,0.08456198
TFPI2,0.08910757
GNG11,0.18540947
COL1A2,0.05091585
AC002429.2,0.026624875
PON2,0.04666998
AC004012.1,0.1001637
PDK4,0.14812629
SLC25A13,0.01310178
DLX6-AS1,0.110348664
ARPC1B,0.05535094
GJC3,0.20673096
AZGP1,0.30832216
GAL3ST4,0.057555273
SERPINE1,0.13286151
CLDN15,0.051825568
AC005064.1,0.062293764
RELN,0.05649115
LHFPL3,0.04184482
AC004884.2,0.14739601
NAMPT,0.031236092
PIK3CG,0.12916555
SLC26A3,0.16377392
TFEC,0.030079529
TES,0.4559079
CAV1,0.090042025
AC002465.1,0.13145143
CFTR,0.20636849
CPED1,0.07028723
PTPRZ1,0.04039346
FEZF1-AS1,0.23611748
AC004690.2,0.049254104
GPR37,0.05315098
IRF5,0.13007484
AC084864.1,0.3846241
TMEM140,0.059231382
AC078845.1,0.072240256
CREB3L2,0.016950699
TBXAS1,0.03703296
CLEC5A,0.070499144
OR2F1,0.21610336
LINC00996,0.60947156
GIMAP8,0.05419141
GIMAP7,0.09499288
GIMAP4,0.01848186
GIMAP6,0.48272622
GIMAP2,0.18928222
NOS3,0.13128953
IQCA1L,0.10577625
AC008060.1,0.21140154
AC008060.3,0.37692022
CSF2RA,0.10564955
PRKX,0.024139605
ANOS1,0.025957808
AC073529.1,0.06847547
ARHGAP6,0.013465942
TLR7,0.12935224
FANCB,0.06682301
MOSPD2,0.016765608
SAT1,0.044030573
CXorf21,0.09862568
CFAP47,0.052738506
MID1IP1,0.1382034
GPR34,0.098872095
CXorf36,0.07001745
AC136489.1,0.06327425
TIMP1,0.04544728
SLC38A5,0.114773296
SHROOM4,0.006954182
AL034397.3,0.12309451
VSIG4,0.21762085
EDA2R,0.07827558
EDA,0.03109962
ARR3,0.0713098
GJB1,0.023657044
LINC00891,0.16616322
AC233296.1,0.060557548
CYSLTR1,0.044765204
ITM2A,0.0155811
KLHL4,0.01476743
SRPX2,0.05269696
BTK,0.11013058
PLP1,0.10084773
IL1RAPL2,0.08764849
COL4A5,0.009239455
XACT,0.061519742
HTR2C,0.020592421
PLS3-AS1,0.020876164
DOCK11,0.006887942
IL13RA1,0.04072629
SASH3,0.09930966
ZDHHC9,0.04576567
